name,count
hats,2
potato scone,3
prize,2
haggis,10
bacon,17
blue,2
told,3
pancakes,7
met,2
items,2
fantastic,3
brought,3
recommend,4
creme fraiche,2
warm,2
excellent,4
work,4
give,3
end,2
amazing,9
yum,4
wrong,2
types,2
order,7
writing,2
coffee,14
bread,4
filling,3
meal,3
wanted,4
days,2
ordering,2
isn,2
moving,2
delicious,12
wasn,8
spinach,2
cereal,2
feeling,3
eggs florentine,4
plenty,4
hollandaise sauce,2
don,8
dog,2
reputation,2
enjoyed,3
toast,8
busy,4
menu,17
folks,2
plate,4
cappuccino,2
loved,6
stop,2
decided,4
mum,2
//www,2
tables,3
kitchen,2
games,2
asked,3
trust,2
tasted,3
strong,3
lovely,6
café,4
kids,3
child,2
weren,2
things,3
make,11
hearty,2
nachos,2
left,4
hat,2
possibly,3
people,3
big bear,4
super,2
canonmills,2
stuck,2
happy,3
offer,2
trip,2
tip,2
topped,2
felt,5
weekend,4
time,17
managed,3
yummy,2
choice,4
presented,2
full breakfast,4
pleased,3
change,2
wait,3
box,2
french toast,12
winner,4
love,10
working,2
visit,11
today,4
great place,3
soup,3
making,2
awesome,3
sunday,4
edinburgh,16
spot,4
cute,2
serving,2
ended,2
cold,2
group,3
board games,3
perfect size,2
lunch,11
half,6
didn,9
yeah,2
veggie sausages,2
year,6
opened,2
jemma,5
couldn,5
honest,2
place,24
bit slow,2
long,2
size,2
city,3
blue bear,27
friend,3
future,2
sad,2
breakfast,11
sat,3
knew,2
importantly,2
sale,4
day breakfast,4
walking,2
show,2
bright,3
gem,2
morning,3
husband,2
seat,3
review,7
cafes,2
chorizo,2
breakfasts,4
pot,3
scrambled eggs,4
cared,2
offered,3
attentive,5
case,2
bowl,2
check,4
week,2
botanics,2
fruit,4
eggs rebecca,2
rest,3
4,2
read,2
world,3
disappointed,5
server,2
served,4
prepared,2
comparison,2
side,5
area,3
lot,8
tasty,7
girlfriend,2
cream,2
big bear breakfast,4
potato scones,2
5,2
starting,2
eggs benedict,12
returning,2
difference,2
list,2
heard great things,2
tea,7
full,2
vegetarian,2
experience,3
amount,2
options,3
family,2
finally,2
excuse,2
town,6
hour,2
star,2
coming,2
late,4
wouldn,3
good,18
food,25
walls,5
easily,2
level,2
stopped,2
found,3
energy,2
missed,2
granola,5
local artists,2
gluten free bread,3
put,2
owners,6
service,14
expecting,2
top,4
fancy,3
miss,2
wonderful,2
amazing place,2
omelette,4
kind,5
yelp event,3
juice,3
blue bear isn,2
sandwiches,2
portobello mushrooms,2
experienced,2
eggs,6
salmon,3
veggie breakfast,2
fine,2
find,2
feels,3
kindly,2
top spot,2
vine,2
locals,2
visiting,2
won,2
restaurant,2
cakes,6
sweet,5
add,2
opening day,2
good sign,2
prices,2
free options,2
solid,2
straight,2
fun,2
ready,2
decor,3
hot spot,2
arrived,2
reviewed,2
rebecca,2
surprised,2
customers,2
couple,5
bit,9
maple syrup,10
popular,2
back,24
sauces,2
novelty,2
porridge,3
run,4
beans,4
relaxed,3
specialty,2
fried,3
called,3
ordered,13
cafe,6
nice,6
favourite,2
smiley,2
cooked,2
berries,4
friendly,14
edina,2
black pudding,11
sausage,3
giving,5
eating,4
real pleasure,3
lovely place,2
great,12
makes,3
brunch places,2
sort,2
salad,4
heard,4
meet,2
poached,2
counter,2
favourites,2
including,3
ll,8
front,3
day,12
good time,2
ambiance,2
times,6
keen,2
owner,3
art,2
start,2
haven,3
ben,5
comfortable,2
gluten,3
dishes,3
waffles,16
looked amazing,2
enthusiastic,3
looked,3
scrambled,3
fact,4
bring,2
staff,19
means,2
bear,2
yogurt,3
11am,2
packed,2
great food,2
taking,2
wall,3
top notch,2
walk,4
table,9
addition,2
decent,2
taste,6
sausages,3
brunch,27
welcoming,6
fault,3
ve,8
partner,2
party,2
tomatoes,3
variety,2
thought,3
good reason,2
generous,3
helpful,3
eggs benny,2
home,3
pepper,2
host,2
pastries,3
mushrooms,2
eat,8
made,7
places,5
problem,2
piece,2
jenny,2
goodness,2
book,5
coffees,3
chance,4
friends,2
yelp,2
