name,count
street,2
opted,2
white wine,2
yelp eats,2
great,2
experience,2
love,2
starter,3
honest,2
end,2
amazing,2
light,2
classy,2
wine,2
ll,2
good,5
return,2
food,7
bread,2
found,2
meal,5
put,2
ate,2
times,2
delicious,2
wasn,3
service,2
part,2
pork belly,2
eaten,2
don,3
fact,2
staff,2
menu,3
bad,3
stockbridge restaurant,2
close,2
table,2
lovely,2
main,4
restaurant,5
ve,3
thought,3
rest,2
bit,3
night,2
served,2
liking,2
start,3
lot,2
offer,3
pig,2
tasty,2
felt,3
wife,2
cooked,2
time,2
