name,count
rose street,4
sushi chef,3
cheap,2
choice,2
tea,2
chef,4
opted,2
great,3
set lunch menu,2
popped,2
£7,2
friendly,5
pieces,2
end,2
sit,2
edinburgh,4
authentic,3
order,3
sushi joints,2
ll,2
window,3
huge amount,2
good,6
food,10
lunch,2
hands,2
day,3
didn,3
meal,4
fish,2
hard,2
small,2
ate,2
service,6
times,2
place,6
massive,2
waitress,2
wasn,2
city,2
quality,2
decided,2
miso soup,3
price,3
don,4
selection,5
find,2
staff,2
menu,5
texture,2
rice,2
flavour,2
full,2
noodles,2
tend,2
restaurant,2
nigiri,2
good sign,2
priced,3
raw fish,2
prices,2
attentive,2
unlike,2
bill,3
ve,3
sushi,10
customers,4
return,2
finish,2
tuna,3
thought,2
rest,2
seats,2
couple,2
bit,3
helpful,2
50,3
people,3
back,7
sushi restaurants,2
eating,2
rolls,4
eat,3
made,3
places,3
doesn,5
tasty,6
nice,3
oishii,8
town,3
chance,2
cooked,2
time,5
fresh,4
