name,count
cuppa,4
wave,2
cool,2
teas,5
enjoy,2
tea,8
laid back,2
enjoyed,2
full,2
leaves,2
love,2
give,2
visit,2
sort,2
£3,2
friendly,2
edinburgh,2
happened,2
coffee,3
tucked,2
walls,2
starbucks,3
day,2
side,2
honest,4
place,5
feel,2
friend,4
easily missed,2
sandwiches,3
plenty,2
don,3
brew,2
atmosphere,2
staff,7
busy,2
sipping,2
super friendly,2
cakes,3
mind,2
ve,2
brewed,2
bucks,2
bags,3
drink,2
thought,2
shortbread,2
rest,2
tables,2
hint,2
bit,3
serves,2
people,2
home,2
business,2
lothian road,2
plethora,2
oolong,2
lot,2
offer,2
ordered,2
chai,2
tea shop,2
nice,3
students,2
tea tree tea,8
time,6
