name,count
friendly,3
dessert,2
pretty quiet,2
slow,2
ve,2
glass,2
salad,2
soup,2
italian restaurant,2
edinburgh,2
staying,2
decor,3
designed,2
rosita missono,2
order,4
main,2
evening,3
food,9
lunch,2
bread,3
meal,2
tiramisu,2
couldn,4
waitress,2
feel,2
quality,3
service,6
hotel,4
part,3
kind,3
don,3
occasion,2
find,2
staff,2
busy,3
menu,6
starters,2
restaurants,2
decided,2
lots,2
missoni,2
restaurant,5
quiet,2
table,4
good,5
ingredients,2
bottle,2
cucina,5
hotel missoni,4
bit,2
continue,2
night,2
served,4
didn,3
people,3
duck,2
back,3
courses,2
dinner,4
fast,2
lot,2
happy,2
eat,3
ordered,2
tagliatelle,2
nice,5
warm,2
time,3
fresh,2
