name,count
worth,2
pay,2
returned,2
deli,2
vin caffe,5
fan,2
hour,2
good coffee,2
restaurant upstairs,4
sausage,2
favour,2
white wine,2
told,2
valvona & crolla,4
mozzarella,2
great,2
experience,2
love,3
&,4
visit,4
creamy,2
99,2
glass,3
starter,2
work,2
insists,2
crolla,2
give,3
end,2
sit,2
located,2
occasionally,2
pizza,4
edinburgh,4
remember,2
order,5
wine,4
whilst,2
ll,3
coffee,9
good,7
food,6
edinburgh institution,2
lunch,7
day,5
vincaffe,2
recommend,3
expect,2
couldn,2
pollo saltimbocca,2
times,3
place,9
waitress,2
good quality,2
delicious,2
quality,3
city,4
service,3
wonderful,2
part,2
upstairs restaurant,3
kind,2
future,2
friend,3
don,5
busy,3
menu,2
eat,3
plate,2
bar,2
recently,2
jd,2
kitchen,2
restaurant,2
asked,2
cakes,4
simple,2
lovely,2
paying,2
ve,3
cafe,4
make,3
pan,2
left,2
rest,3
seats,2
afternoon coffee,2
tables,2
disappointed,2
bit,3
valvona,2
chairs,2
served,2
italian,2
people,3
back,4
meal,2
multrees walk,4
start,2
buy,2
ordered,4
tasty,2
trip,2
nice,3
pizzas,2
friends,2
time,5
fresh,2
