name,count
excellent,2
dish,2
long time,2
brown,3
returning,3
leave,2
tea,2
burger,2
corner,2
food arrived,2
drinks,8
opted,2
fine,3
told,2
full,4
eggs benedict,5
afternoon tea,2
wait,2
great,2
£12,2
makes,2
love,5
visit,2
recommend,4
popped,2
started,3
glass,2
warm,2
£5,3
work,4
friendly,3
green beans,2
give,2
sample,2
times,4
huge,2
sunday,4
browns,20
edinburgh,5
wrong,2
coming,2
waitress,2
order,2
years,2
ended,4
group,2
ll,6
amazing,4
choose,3
main,4
wouldn,2
good,10
tasty food,2
food,11
sharing platter,2
lunch,5
half,2
arriving,2
day,3
didn,9
found,2
meal,5
fish,2
classy,3
friday,2
steak,2
couldn,2
waiter,5
thing,2
place,7
isn,2
vegetables,2
feel,3
delicious,6
wasn,3
quality,2
service,8
top,2
2,2
friend,3
part,2
loved,4
kind,2
matter,2
visited,2
ages,2
mine,2
breakfast,2
dishes,3
busy,4
don,4
clean,3
wine,2
fact,2
impression,2
atmosphere,2
chances,2
chicken,2
staff,3
toast,2
based,2
menu,7
pretty,2
chat,2
smoked salmon,2
chips,2
bar,2
bad,2
cocktails,7
decided,4
great food,2
perfect,3
tables,2
deliver,2
sweet potato,2
pissed,2
kitchen,2
restaurant,6
invited,2
asked,3
point,2
reasons,2
sweet,2
pot,3
table,5
expensive,3
lovely,4
recent visit,2
priced,2
finished,2
brunch,4
attentive,2
bill,2
weren,4
ve,9
side,3
disappointing,2
signature cocktails,2
things,2
make,3
drink,4
bit,2
couple,3
possibly,2
disappointed,3
crisp,2
night,2
served,2
back,11
eating,2
dinner,3
plenty,3
area,3
friends,3
good deal,2
lot,3
happy,2
head,3
offer,5
eat,4
george street,8
made,3
places,7
inside,2
minutes,3
ordered,5
tasty,2
dressed,2
detail,2
nice,8
plate,2
fresh,3
weekend,2
space,2
cooked,5
time,9
