name,count
dish,3
friendly,2
large,2
quick,2
main courses,2
told,2
full,2
chinese restaurants,3
wait,2
great,6
experience,4
makes,2
duck,2
visit,2
live,3
give,2
end,2
edinburgh,3
remember,2
takeaway,3
order,3
good,7
food,10
owner,2
place,3
feel,2
service,2
eaten,2
don,3
corner,2
staff,3
menu,4
rice,2
means,2
bad,2
fair,2
close,2
noodles,2
restaurant,5
karen,4
simply,2
crispy,2
welcoming,2
ve,4
tables,2
customers,2
popular,2
people,2
eating,2
business,3
happy,2
eat,2
portions,2
karen wong,6
ordered,2
karen wongs,2
fact,2
time,6
alright,2
