name,count
friendly,3
2 people,2
black pudding,2
tiger prawns,2
opted,2
giving,2
good things,2
change,2
wait,2
fantastic,2
love,4
visit,3
recommend,2
bill,4
excellent,2
work,2
share,2
times,3
thing,4
edinburgh,2
tapas,6
shore,3
order,5
wine,3
churros,3
ll,5
good,7
food,8
meat,3
occasions,2
fish,2
prawn,2
place,9
feel,2
delicious,3
service,2
rioja,3
chicken skewers,2
mind,2
dishes,5
cleared,2
don,3
4 tapas,2
gambas,2
bring,2
patatas bravas,3
find,6
staff,6
menu,6
tapa,6
pretty,3
lamb chops,2
portions,3
review,2
restaurant,2
chorizo,5
table,4
aubergine crisps,2
quickly,2
understand,2
spain,3
£25,3
accommodating,2
ve,6
squid,2
shame,2
arrived,2
bottle,3
nikki,2
easy,2
disappointed,2
people,2
back,4
run,2
found,2
ribs,2
chance,2
impressed,2
ordered,2
lot,2
offer,2
flavour,2
chelsea,2
taste,2
tasty,2
good thing,2
highly recommended,2
book,2
felt,3
friends,2
time,2
fresh,3
