name,count
flat white,3
worth,5
good coffee,2
employees,2
enjoy,6
tired,3
bacon,2
colourful,2
supplied,3
reviewed hula,2
dry,3
changed,2
fantastic,3
call,2
recommend,5
glass,2
warm,6
excellent,4
£4,2
£5,5
hold,2
work,9
give,7
honey,3
veggies,3
end,3
gluten free,5
place,43
gluten free options,4
decor,3
wrong,3
green,3
things,4
order,5
avocado,2
expectations,2
coffee,14
combination,2
break,2
filling,2
booster shots,4
free,3
returning,4
wanted,6
inexpensive,2
days,6
heck,2
isn,2
arrived,3
previous reviews,3
downside,2
delicious,22
wasn,5
service,9
spinach,8
top,4
girls,2
needed,6
tangy,3
matter,2
street,3
feeling,7
mind,3
mine,3
ginger,10
ray,2
regular,5
ginger jack,2
don,16
soups,10
overpriced,2
enjoyed,7
toast,2
busy,3
menu,17
rice,4
personality,2
cappuccino,2
stop,7
fantastic place,2
carrot juice,2
10% discount,2
bad,3
fair,2
decided,3
miserable,2
lots,8
yogurt,4
terms,2
10%,4
fruity,2
cute place,2
asked,6
tasted,6
ve tasted,2
quickly,2
expected,2
entered,2
lovely,16
warmth,2
life,2
sunshine,13
catch,2
pink lady,3
friendly atmosphere,2
suggest,3
make,17
hang,2
delight,3
great location,2
dark,3
tuna,4
efficient,2
hearty,2
left,2
kale,2
laptop,2
favourite places,2
smoothies,25
character,2
ooooh,2
gave,2
feel good,2
mayo,2
night,2
hung,2
yelp app,3
people,4
bottom,2
/,2
super,2
afternoon,3
slightly,2
free wifi,7
carrot,4
delighted,2
accommodate,2
juicing,2
wrap,5
stuck,2
happy,9
selection,3
head,2
offer,8
true,2
refreshing,2
inside,5
bargain,2
juice bar,7
adore,2
tasty smoothies,2
sale,4
check,7
betty ford smoothie,2
highly recommended,2
topped,4
setting,2
intend,2
juices,23
felt,9
update,3
hula juice bar,5
time,22
managed,3
yummy,5
charge,2
vegan,2
choice,4
teas,3
quick,2
loads,4
eating,4
cosy,3
drinks,6
pleased,4
boost,2
filled,4
juice cleanse,2
change,3
wait,4
healthy,13
cinnamon,6
love,22
visit,11
jam,2
today,4
extremely delicious,2
great place,5
reviews,2
soup,14
making,5
awesome,3
sample,3
heard,2
winter,2
edinburgh,30
spot,9
date,2
guys,2
man,2
remember,3
mango,2
gf bread,2
cute,6
shoes,2
ended,2
cold,5
smoothie,18
amazing,7
good place,2
lunch,12
didn,14
hula juice,2
frozen yoghurt,2
space,5
dutch,2
carrot cake,4
hula,50
oasis,3
couldn,3
honest,3
thing,7
yum,4
cheese,4
fast,2
open,3
city,8
checked,3
bite,3
friend,5
juice bars,2
boyfriend,5
freshly squeezed,2
apples,2
venture,2
fruits,3
turned,2
breakfast,13
whirling dervish,2
smoothie bar,2
note,2
relaxed,2
price,3
hungry,2
shop,3
walking,4
bright,6
corner,4
milkshakes,2
morning,8
husband,5
seat,4
review,6
reading,3
tastes amazing,2
affordable,2
orange juice,3
quiet,2
lived nearby,2
pot,2
tropical,2
offered,4
accommodating,2
delicious food,2
pay,3
trip,4
week,2
finish,2
rainbow,3
fruit,8
summer,3
money,3
rest,4
afternoon coffee,2
hint,2
artisan roast,4
cup smoothie,2
read,5
disappointed,2
pounds,2
served,2
seating,5
butt,2
divine,2
porridge made,2
slice,2
exciting,2
comparison,2
stand,2
area,2
start,3
stars,3
refurb,2
strawberry,2
fresh juice,5
taste,4
moved,2
sandwich deal,2
watched,2
wifi,12
boosters,2
lack,2
dish,2
grassmarket,17
blueberries,3
smile,2
haggis soup,2
returned,4
sitting,2
fan,3
staff member,2
large,3
small,2
tea,5
past,3
cool artist atmosphere,2
opted,4
caffeine,2
hasn,2
full,10
hours,3
popeye,4
vegetarian,2
experience,4
amount,2
healthier,5
pick,5
options,3
perfect spot,2
guacamole,2
eye,2
finally,3
flat,3
door,3
healthy stop,2
glad,4
town,14
hour,2
beautiful,2
suggestions,2
sandwich,2
coming,3
susan,4
wonderful breakfast,2
bowl,2
brie,3
wouldn,3
good,30
return,3
food,26
veggie,2
walls,8
starbucks,2
visiting edinburgh,2
easily,2
stopped,4
found,6
hard,2
idea,2
friendly staff,6
expect,3
granola,6
health,2
reason,2
put,4
ve heard,2
castle,2
feel,10
fancy,2
pop,2
staying,2
ve found,2
wonderful,3
banana,9
option,4
ginger jack juice,4
part,2
kind,2
ages,4
juice,18
orders,2
crowded,2
moist,2
sandwiches,5
chicken pesto bagel,3
cramped,2
nice place,4
victoria street,5
frozen yogurt,5
find,13
comfy seating,2
wraps,9
hit,2
sunny,2
set,2
art,2
incredibly friendly,2
cozy,2
vitamins,3
visiting,2
steep prices,2
won,2
recently,3
great selection,2
cakes,18
reasons,2
sweet,2
expensive,4
mint tea,2
green juice,2
cream cheese,3
priced,2
understand,4
prices,2
bill,5
brilliant,2
bonus,4
quirky,3
tables,2
cup,9
location,3
complaint,2
australia,2
big,2
couple,2
bit,14
chairs,4
delicious smoothie,2
popular,2
highly recommend,2
back,29
delivered,2
porridge,8
run,3
salmon,3
good stuff,2
step,3
lasts,2
deserves,2
range,2
impressed,5
long,3
forward,2
nice staff,2
popeye juice,5
hot chocolate,4
