name,count
chain,2
cool,3
burger,2
waiting,2
meh,2
great,4
kids,2
visit,2
friendly,3
times,2
huge,2
thing,2
chicken wings,3
cocktail,3
stars,2
lines,2
order,2
tgi fridays,3
late,2
good,5
food,6
day,2
edinburgh,3
expect,2
pleasant,2
place,5
service,6
ordered,2
eyes,2
catered,2
kind,2
tastes,2
drinks,2
don,5
atmosphere,2
staff,6
menu,2
portions,2
chips,2
bar,3
cocktails,2
restaurant,2
disappointment,2
table,3
tgi,3
expensive,2
attentive,2
onion rings,2
ve,3
waitresses,2
burgers,3
nachos,2
rest,3
bit,2
wings,2
people,2
ribs,4
side,2
hear,2
eat,5
made,3
places,3
friends,2
time,3
