name,count
worth,3
dessert,2
royal mile,4
black pudding,2
visit,2
main,2
door,2
warm,2
excellent,3
friendly,2
great atmosphere,2
tap,2
amazing,2
edinburgh,2
interesting,2
good,3
food,5
meat,2
meal,2
delicious,2
imagine,2
place,4
service,3
friend,2
kind,3
drinks,2
eaten,2
find,2
menu,4
made,2
chips,2
bar,2
steak,2
restaurant,4
asked,2
table,2
lovely,3
balance,2
evening,2
party,2
blackfriars,2
cockles,2
bit,2
lot,2
forward,2
offer,2
cottage,2
tasty,2
nice,2
time,2
