name,count
dish,3
pad thai,3
cosy,2
wait,2
experience,2
meats,2
popped,2
glad,2
making,2
give,2
dinner,3
edinburgh,6
food,2
day,2
meal,2
wanted,2
couldn,3
sticky rice,2
place,5
feel,2
delicious,3
wasn,2
top,2
wrapped,2
stairs,2
don,2
pineapple,2
staff,2
plate,2
basement,3
great food,2
ruan thai,2
restaurant,3
quiet,2
sweet,3
lovely,2
pleasantly surprised,2
welcoming,3
ve,2
make,2
tables,2
bit,3
served,2
people,2
back,2
solid choice,2
happy,2
head,2
eat,3
fried,2
nice,2
star,2
favourite,2
thai food,2
time,4
