name,count
friendly,2
royal mile,2
small,2
drinks,3
fajitas,3
love,2
guacamole,3
recommend,2
prompt,2
share,2
edinburgh,4
decor,4
salsa,2
make,2
mexican,3
ended,2
choose,2
sauce,3
good,7
food,11
lunch,2
stopped,2
hard,2
7,2
times,2
place,7
isn,2
margaritas,2
cheese,2
delicious,3
wasn,3
service,6
top,5
friend,2
pancho villas,4
don,8
order,2
fine,2
staff,4
busy,3
menu,3
rice,5
tortilla soup,2
plate,2
bar,2
bad,3
cocktails,2
decided,2
restaurant,5
table,2
basic,2
prices,2
attentive,3
cracked crab enchiladas,2
ve,4
mexican food,2
burrito,2
spent,2
thought,2
nachos,3
big,2
disappointed,3
server,2
business,2
beans,2
happy,2
eat,3
uk,2
ordered,5
nice,3
time,3
