name,count
worth,2
haggis,3
enjoy,2
cooking,2
told,2
mex,4
fajitas,3
criticism,2
recommend,4
type,2
excellent,2
hole,2
word,3
work,7
give,5
foods,2
pinto,2
end,3
turn,2
hot,4
wrong,2
salsa,13
types,2
order,9
meat,6
filling,5
reasonable,2
meal,5
pinto beans,5
wanted,2
ate,4
days,3
heading,2
veggie,2
delicious,3
wasn,4
service,4
top,3
distance,2
mine,2
talking,3
gripe,2
doors,2
mouth,2
don,12
enjoyed,5
make,2
menu,5
rice,14
bad,4
steak,8
decided,3
result,2
lots,2
tables,5
kitchen,2
fault,2
fresh guacamole,2
beef,2
lovely,3
website,3
pulled pork,2
inspired,3
mexico,4
veggie burritos,2
carnitas,14
left,2
easy,3
5 stars,2
night,3
deal,2
people,4
bottom,2
/,2
post,2
dinner,5
slightly,2
happy,4
offer,5
flavour,2
servings,2
highly recommended,2
time,12
burritos,13
choice,6
cook,2
burrito place,2
cool,2
weeks ago,2
friendly staff,2
quick,2
saving grace,2
dip,2
pork,6
seasoning,3
cost,2
run,2
delivery service,2
filled,6
box,3
love,7
live,2
wondering,2
carnitas burrito,3
awesome,3
write,2
edinburgh,12
spot,2
guys,3
remember,2
cold,3
tex mex,2
didn,7
tortilla chips,6
year,3
leith walk,6
victoria bar,2
couldn,5
thing,4
place,15
cheese,12
fast,4
open,2
bite,2
friend,4
boyfriend,2
tasted,3
note,3
price,2
knew,2
hungry,2
shop,3
cheap,2
corner,3
portions,3
tortilla,2
satisfying,2
review,3
pop,2
ordered,7
evening,2
burrito fix,2
bowl,2
check,6
mexican food,6
finish,3
burrito,24
touch,2
4,2
gonna,2
world,3
served,4
seating,2
business,2
fillings,5
side,3
area,4
start,2
stars,2
spicy,2
moved,2
tasty,12
booked,2
wee bit,2
steak burrito,2
leith,4
messy,3
fan,3
tex,5
opted,2
full,2
pick,2
guacamole,9
put,5
door,2
basically,2
glad,2
town,3
hour,2
states,2
huge,4
veggie burrito,2
quesadilla,5
tacos,5
tex mex food,2
mexican,3
mission,2
unhealthy,2
wouldn,2
good,18
return,2
food,14
found,3
idea,2
expect,4
small tables,2
reason,3
soft tacos,2
american,2
expecting,2
feel,3
fancy,2
bland,3
miss,2
store,2
mmmm,2
part,3
kind,7
scotland,2
find,8
giant,2
hit,3
sour cream,11
restaurants,3
tender,2
wow,2
mouthful,2
missing,2
punch,2
simply,2
peppers,2
prices,3
banter,2
arrived,2
spices,2
excited,2
big,2
couple,4
bit,7
back,11
delish,2
deserves,2
regular,2
beans,8
impressed,3
long,2
forward,2
line,3
uk,3
extra hot salsa,3
nice,7
favourite,2
meaning,2
cooked,2
fresh,4
good food,3
large group,2
friendly,7
giving,3
great,4
bit dry,2
makes,2
doubt,2
quesadillas,5
sit,5
cutlery,2
takeaway,6
los cardos food,2
perfect,2
4 stars,2
ll,8
chicken burrito,4
choose,4
salsa verde,4
day,3
coriander,3
veggie haggis,2
times,4
quality,6
roastin,2
lot,8
loved,2
haggis burrito,4
justeat,2
looked,3
fact,2
bring,2
pico de gallo,2
chicken,14
staff,7
hope,2
meant,2
beat,2
taking,2
taste,6
finished,2
ve,11
thought,3
seats,3
generous,2
book,3
illegal jacks,4
helpful,2
success,2
home,9
bland rice,2
noticed,2
los cardos,22
delivery,6
eat,12
made,5
places,5
yelp,3
black beans,3
