name,count
limited,3
vegetarian breakfast,2
lack,3
hate,2
milk,5
flat white,2
worth,5
potato scone,3
choice,3
red thai,2
fan,3
baristas,2
good coffee,3
kilimanjaro coffee,6
friendliness,2
tea,6
bacon,7
drinks,3
eggs,2
espresso,2
caffeine,3
find,6
fruit scone,2
full,2
hours,3
strong,2
great,9
coffee shop,7
jams,2
changed,3
love,4
chai latte,3
prefer,2
visit,6
type,2
vegetarian haggis,2
glass,2
people watching,3
excellent,6
£6,2
effort,2
town,6
great place,3
friendly,2
soup,2
paninis,2
give,4
huge,3
end,3
sit,4
till,2
feta,2
isn,2
edinburgh,13
spot,3
coming,2
date,2
fi,4
counter,3
pay,3
order,7
fringe,2
years,3
perfect,3
interesting,3
ll,4
avocado,3
amazing,2
choose,3
huge amount,2
wouldn,4
coffee,25
good,10
food,12
starbucks,3
front,2
day,8
bigger,3
university,2
found,3
recommend,2
hard,4
ambiance,2
staying,2
expect,3
morning,2
quality,4
granola,3
haggis,4
long black,2
reason,2
wanted,3
times,5
thing,4
ish,2
place,18
feel,2
owned,2
delicious,6
wasn,2
impossible,2
thick,2
service,5
night,2
comfy,2
friend,2
killimanjaro,3
stars,3
bit,4
serve,4
haven,3
crowded,2
tables,3
lunchtime,2
breakfast,6
apparently,2
scone,5
sandwiches,6
kilimanjaro,16
regular,2
mouth,2
soups,7
fact,2
atmosphere,3
selection,2
cheap,2
poached egg,2
bring,2
staff,7
toast,4
busy,8
menu,5
winner,2
jam,6
cappuccino,3
hit,3
means,3
stop,2
portions,2
places,3
kiliminjaro,3
bad,3
stuff,3
grab,2
seat,5
decided,2
close,2
served,8
review,2
boy,2
won,3
ll find,2
coffee shops,2
wi,2
great selection,2
taking,2
cakes,8
artisan roast,2
pot,2
great coffee,3
table,6
scrambled eggs,2
addition,2
lovely,3
café,2
prices,3
brunch,2
poached eggs,3
chill,2
regularly,2
juice,2
suppose,4
ve,10
shame,3
nicholson street,4
things,2
make,4
9,2
fruit,4
butter,3
good cup,2
lunch,2
wellington,3
thought,2
left,2
legendary,2
laptop,2
seats,2
thinking,2
independent coffee shop,2
add,2
free wi,2
city,3
customers,3
read,5
big,4
disappointed,6
furniture,2
popular,4
nicolson street,2
nice,5
seating,2
flat whites,3
people,8
absolutely,2
back,7
home,2
liking,2
scrambled egg,2
favourite,3
good selection,2
cheese,2
courgette fritters,2
comparison,2
newspapers,3
beans,2
mushrooms,2
scones,11
impressed,2
area,4
*,2
long,2
start,2
lot,4
happy,2
offer,2
don,8
george street,2
made,7
ordered,5
doesn,4
clotted cream,5
tasty,8
chat,2
cafe,6
book,5
coffees,3
students,4
update,2
friends,4
meals,2
opened,2
wifi,6
warm,2
time,7
fresh,4
