name,count
pancetta,2
friendly,2
dessert,2
cool,3
heaven,2
chef,2
street,2
drinks,3
full,3
water,2
great,5
experience,4
love,2
family,2
absolutely divine,2
give,2
entrance,4
impress,2
glass,2
worth,2
dining experience,2
heart,2
chic,2
amazing,3
edinburgh,6
cocktail,2
wonderful,2
wrong,2
birthday,2
coming,2
light,2
make,2
wine,2
serving,2
fife,2
terrace,2
perfect,2
ll,4
expectations,2
happened,2
good,4
views,4
food,7
bread,3
found,2
side,2
special,3
put,2
place,7
castle,6
floors,2
delicious,3
city,3
guess,2
cynical,2
elevator,3
mine,2
decadent desserts,2
roof terrace,2
don,3
sun,2
fact,3
bring,2
find,2
staff,3
menu,4
smoked salmon,4
bar,2
view,5
cocktails,4
close,2
review,4
restaurant,5
asked,3
point,2
birthday dinner,2
priced,2
understand,2
paying,2
main,2
weren,2
ve,5
partner,2
pay,3
food menu,2
difficult,2
week,2
drink,4
moment,2
summer,3
tables,2
read,3
admit,2
wanting,2
bit,4
didn,2
people,2
duck,2
back,2
dining room,2
table,2
top floor,2
dinner,2
start,3
lot,2
head,2
eat,3
george street,2
fine dining,2
check,2
started,2
oloroso,8
requested,2
plate,2
pricey,2
