name,count
enjoying,2
heaven,2
teas,2
tea,5
great,2
kids,2
genuinely happy,2
working,2
visit,2
soup,2
exterior,2
mix,2
morningside,3
9am,2
good cake,2
coffee,2
good,5
food,2
day,3
side,2
carrot cake,2
place,4
owner,2
service,2
top,3
loved,3
sandwiches,3
morningside road,2
don,2
refreshing,2
lorna,4
atmosphere,2
staff,2
menu,3
jam,2
plate,2
marshmallows,2
lots,2
loopy lorna,6
cakes,7
lovely,3
tea room,2
ve,3
decor,2
crockery,2
mother,2
generous,2
apple pie,2
character,2
bit,3
highly recommend,2
adorable,2
scones,5
quirky,5
offer,3
made,2
places,2
cake,6
ordered,2
taste,2
cafe,3
