name,count
shop,2
worth,3
list,2
haggis,5
small,2
pork,7
find,2
onion stuffing,3
brown bread,2
hours,2
great,2
give,2
edinburgh,4
sandwich,5
order,3
window,2
choose,2
good,6
day,3
meat,3
filling,2
special,2
put,2
place,4
delicious,4
service,2
moist,2
price,2
don,3
bbq sauce,5
victoria street,2
sage,3
crackling,3
apple sauce,4
seat,2
affordable,2
4,2
priced,2
stuffing,3
oink,7
onion,2
seating,4
happy,3
taste,2
tasty,2
check,2
stumbled,2
roll,2
grunter,3
