name,count
rating,2
consists,2
grassmarket,4
long time,3
ambience,2
friendly,6
sitting,2
choice,3
word,2
haggis,3
enjoy,2
bacon,2
steaks,4
street,2
pass,2
giving,2
fine,2
long wait,2
white wine,6
scallops,2
told,3
full,4
mussels,27
slow,2
wait,2
great,7
experience,2
mussel,8
fantastic,2
love,3
great mussels,2
excellent,3
rare,2
town,3
great place,2
bartender,2
worth,2
dripping,2
heard,2
huge,2
end,2
sit,2
provide,2
dinner,5
located,3
amazing,7
edinburgh,10
rude,2
spot,2
remember,2
prawns,2
honestly,2
pay,2
oysters,2
order,7
wine,4
perfect,2
main,3
sauce,2
good,17
return,2
food,14
lunch,2
front,2
day,3
bread,4
meat,3
didn,3
lunch menu,2
meal,5
idea,2
surprise,2
shows,2
ribeye steak,2
pleasant,2
care,2
chilli,2
thing,3
place,16
isn,2
turf,6
castle,3
waitress,4
fancy,2
delicious,10
wasn,2
quality,3
service,16
top,2
needed,2
friend,4
option,2
hotel,3
serve,3
loved,2
outstanding,3
lime sauce,2
modern,2
flavorful,4
ginger,3
tender,2
sat,2
scotland,7
terrific,2
surf,7
price,4
mouth,4
shallots,2
don,6
seafood,8
cooked perfectly,2
fact,2
enjoyed,3
staff,6
busy,5
menu,7
starters,2
watch,2
flavour,4
chips,5
bad,6
steak,15
bucket,2
review,2
3,2
apologetic,2
omg,2
steak bar,8
reaction,2
restaurant,7
asked,2
point,2
pot,3
seafood curry,2
table,5
basic,2
location,2
life,2
juicy,5
attentive,2
weren,2
melted,2
tasty,3
ve,8
beef dripping,2
friendly service,3
things,2
make,4
split,2
nice,2
plates,4
garlic,3
excellent food,2
dishes,2
thought,4
bottle,2
left,2
waitresses,2
recommended,2
4,2
easy,2
complaint,2
bit,3
disappointed,4
served,2
people,3
absolutely,2
highly recommend,3
arrived,2
back,6
sauces,2
wine list,2
scottish mussels,2
reasonable,2
night,4
side,4
prices,3
plenty,2
mushrooms,2
lot,5
happy,2
cream sauce,2
recommend,7
eat,3
lovely,3
inside,2
ordered,6
sirloin,2
taste,3
highly recommended,2
started,3
reservation,2
friends,2
meals,5
walked,5
cooked,8
time,13
fresh,7
