name,count
baby back pork ribs,2
enjoying,2
worth,4
carnivoresque mates,2
fall,2
reekie,4
owner couple explaining,2
great,5
great place,3
friendly,2
incredible,2
place,6
edinburgh,3
plans,2
order,2
ll,2
choose,3
absolutely delicious,2
food,4
lunch,2
day,3
meal,3
bone,2
luck,2
year,2
open,2
irn bru bbq sauce,2
couldn,2
slightly overcooked,2
delicious,2
service,4
coleslaw,2
note,2
selection,2
chips,2
restaurants,2
decided,3
motivations,2
restaurant,3
walk,2
pulled pork,4
accident found,2
ready,2
thinking,2
meat dust,2
night,3
back,4
sauces,2
burnt ends,3
ribs,5
visit,3
pleased,2
fries,2
felt,2
town,2
cooked,2
time,2
