name,count
dish,2
rose street,4
yummy,2
town,2
cheap,2
fan,3
die,2
sign,2
opted,3
giving,3
told,2
full,2
sardines,2
great,3
vegetarian,2
bot,2
give,2
visit,4
doubt,2
beer batter,2
glass,2
salad,4
friendly,2
salty,2
seafood restaurants,2
sit,2
dessert,2
place,8
isn,2
edinburgh,4
order,4
serving,3
earth,2
ll,3
orange,3
main,2
wouldn,2
good,6
food,7
lunch,5
day,2
intrigued,2
lunch menu,3
found,3
meal,4
fish,13
put,2
wanted,3
waiter,2
expecting,3
delicious,4
wasn,4
owner,3
guess,2
service,2
top,2
white,2
dogs,4
kind,2
happy,2
tasted,3
dinner,3
apparently,2
dishes,3
interior,2
centre,2
price,3
mouth,2
don,8
seafood,7
freshest fish,2
looked,3
hake,3
staff,2
menu,5
chips,13
enjoyed,3
decided,4
great food,2
pictures,2
mushy peas,5
won,2
mussels,3
haddock,2
restaurant,2
simple,2
walk,2
table,4
mind,2
priced,3
prices,4
cullen skink,3
ve,7
coating,2
make,2
seadogs,13
delectable,2
spend,2
rest,2
love,4
tables,2
couple,2
bit,8
disappointed,2
helpful,2
served,3
back,3
home,2
wrong,3
trout,2
side,3
noticed,2
lot,2
recommend,3
made,4
amore dogs,4
ordered,3
tasty,2
fill,2
ingredients,2
nice,2
time,7
fresh,3
