name,count
burritos,3
large,3
quick,2
great,2
pick,2
wondering,2
£5,2
£7,2
£3,2
times,2
edinburgh,2
salsa,2
takeaway,3
order,2
mexican,2
good,4
food,2
expect,2
space,2
small,2
put,2
wanted,2
place,5
cheese,2
lettuce,2
service,3
mind,2
don,2
cheap,2
chicken,4
enjoyed,2
jalapeños,3
rice,3
bad,2
decided,2
quick lunch,2
meal,2
minutes,2
hot sauces,2
ve,4
drink,2
burrito,5
money,2
mexican street food,2
beef burritos,2
fillings,2
lovely,2
lot,2
happy,2
beans,2
eat,2
spice,2
taquito,5
tasty,3
fresh,2
