name,count
worth,4
enjoy,3
bacon,6
told,6
dry,2
fantastic,3
replace,2
brought,3
browse,2
recommend,2
type,2
relax,3
glass,2
£8,2
excellent,3
95,2
work,7
comfy sofas,2
end,3
gluten free,3
place,25
waitress,2
order,10
coffee,15
bread,3
reasonable,2
side,3
lentil soup,2
saturday,3
surprise,3
free,3
wanted,3
days,4
isn,4
delicious,14
wasn,5
service,9
top,5
airy,7
serve,4
small selection,2
matter,2
friend,4
feeling,3
mind,2
mine,2
lattes,2
recommended,4
regular,2
plenty,2
don,8
soups,2
enjoyed,4
toast,2
busy,7
layout,2
menu,6
plate,3
cake table,2
stop,3
perfect place,2
resist,2
decided,3
lots,9
wi,2
fault,2
day sort,2
asked,4
trouble finding,2
expected,3
lovely,6
catch,3
leaves,2
shame,2
make,9
babies,3
delight,2
kid,2
butter,3
left,2
food order,2
laptop,2
ham,2
gave,4
hunt,2
remind,2
fountainbridge,6
people,8
counts,2
/,2
newspapers,3
slightly,3
free wifi,8
busy day,2
happy,3
offering,2
offer,4
understandable,2
flavour,2
floor,5
setting,3
papers,2
felt,4
weekend,3
selection,2
essentials,2
icing,2
vegan,2
choice,4
cool,2
couches,3
quick,5
loads,2
eating,2
drinks,6
full breakfast,3
filled,3
satisfy,2
wait,7
hadn,2
queue,3
french toast,2
love,3
give,6
visit,7
today,2
cashier,2
great place,5
reviews,2
soup,5
making,2
arrive,3
1,2
till,3
sunday,2
edinburgh,11
cute,2
20 minutes,2
smoked salmon,2
3 stars,2
group,2
amazing,4
spacious,6
happened,3
good place,2
lunch,11
year,4
morning,2
opened,2
space,10
carrot cake,3
couldn,5
thing,3
annoying,2
pricey side,2
huge windows,2
long,3
open,7
city,4
bite,3
2,2
white,2
eyes,2
thay,2
10,2
tasted,2
turned,2
sad,3
breakfast,7
sat,3
note,2
ideal,2
interior,2
large tables,2
cheesecake,2
price,4
teapots,2
hungry,4
slow,6
husband,2
bit pricey,2
seat,2
forgotten,2
pot,3
scrambled eggs,2
breath,2
laptops,4
attentive,2
couples,2
cafe,11
pay,4
week,2
yummy mummies,2
ya,2
thinking,2
visiting edinburgh,2
read,5
early,2
server,3
served,4
seating,2
slice,7
meal,6
stand,2
road,2
area,5
lot,6
jug,2
downstairs,2
taste,2
tasty,5
meeting friends,2
time,17
eggs benedict,6
norm,2
sitting,2
gift shop,2
fab,2
heaven,2
large,2
small,2
tea,9
opted,2
full,5
wee retail,2
hours,3
experience,3
amount,3
pick,2
put,4
eye,3
takes,2
door,2
town,4
beautiful,2
ceiling windows,3
simplicity,2
sandwich,3
fi,4
brunch menu,2
good,18
return,2
food,17
big lunch,2
found,4
hard,3
leave,2
entire day,2
feel,9
guess,2
loudon,4
kind,3
compliments,2
alongside,2
sandwiches,3
added,2
eggs,5
salmon,4
charm,2
clean,6
find,5
tills,2
waiting,3
hit,2
feels,4
seated,4
quiche,3
won,5
baked goods,2
sweet,2
lunch options,2
expensive,4
understand,3
prices,2
straight,2
bill,2
decor,2
anymore,2
loudens,2
spent,4
tables,4
customers,2
big,2
couple,2
bit,12
helpful,5
maple syrup,2
back,15
sight,2
young families,2
good selection,2
run,3
range,6
impressed,2
fast,2
relaxed,2
ordered,7
doesn,4
nice,9
meals,2
walked,2
cooked,2
fresh,3
good food,2
ambience,3
friendly,8
lovely place,2
great,10
makes,4
apple,2
sort,2
bright,7
salad,3
sit,6
light,10
including,2
perfect,2
write,2
choose,2
front,3
day,12
delightful,3
ambiance,2
special,3
yard,2
times,7
noticed,3
coffee & cake,2
sadly,2
ordering,3
appealing,2
visited,2
counter,2
scone,2
sunday brunch,2
face,2
looked,2
fact,4
atmosphere,6
freshly made,2
bring,3
table service,3
staff,15
local,2
regularly,2
great spot,2
perfection,3
ended,4
tollcross,2
grab,2
fresh food,2
packed,2
great food,2
café,2
superb,2
ll,6
portion sizes,2
walk,4
quick pit stop,2
table,11
finished,2
brunch,6
ve,14
site,3
helped,2
friendly service,3
takeaway section,2
artisan roast coffee,2
difficult,3
drink,4
thought,2
loudons,20
cakes,23
rest,4
add,3
works,3
didn,6
peter,2
stay,2
scones,3
brownies,2
buy,2
eat,5
made,10
places,5
hand,2
cake,11
problem,4
minutes,2
display,4
book,2
coffees,2
star,2
15 minutes,3
friends,4
baked,3
