name,count
hate,2
bacon cheeseburger,2
brioche buns,3
enjoy,2
chilli cheese fries,2
bacon,4
dry,3
flavour,3
fantastic,2
straw,2
brought,3
negative,2
type,2
burger sauce,5
warm,2
£4,4
£6,2
£1,3
work,3
chicken burger,4
give,5
specials board,2
end,2
fast food joint,2
buns,3
attempt,2
order,12
écor,2
avocado,2
split,2
heaven,2
bread,2
meat,7
filling,6
meal,4
skins,3
bit smaller,2
size,4
wanted,2
greasy,2
isn,3
good quality,2
delicious,16
wasn,10
thick,3
service,11
top,4
reuben,2
tangy,2
solely,2
don,11
place,25
enjoyed,5
busy,3
menu,12
stop,2
relish,2
fair,2
decided,4
glasgow,3
terms,2
fault,2
offerings,2
beef,4
beer,2
lovely,5
life,3
worked,2
shame,2
cut fries,2
make,7
burgers,21
left,3
wannaburger,3
board,2
easy,2
5 stars,2
50,3
night,5
deal,3
people,3
bacon cheese burger,2
shakes,4
dinner,3
offer,3
portions,2
tempeh,2
topped,2
salt,2
skin,4
specials,11
dip,4
sign,2
chicken,4
drinks,6
water,3
wait,2
love,6
prefer,2
visit,5
live,2
chocolate,2
awesome,2
till,4
edinburgh,14
spot,3
guys,4
ended,2
shake,7
interesting,2
amazing,2
lunch,3
ketchup,2
chocolate milkshake,2
ice cream,4
couldn,4
thing,6
cheese,11
fast,3
city,3
2,2
short,2
future,2
happy,7
tasted,2
sat,3
note,2
price,10
cheap,2
cheeseburger,5
brioche bun,2
seat,2
fried,2
offered,2
case,4
check,4
milkshakes,3
love burger,2
chicken katsu burger,9
costs,2
peanut butter,4
hot dogs,4
rest,3
flavor,2
good burger,2
read,2
world,3
walk,2
served,3
pickles,3
ladies,2
stars,2
great experience,2
taste,6
tasty,12
fill,2
perfect burger,2
time,11
lack,4
messy,3
stilton,2
fan,4
small,4
burger,41
design,2
fast food,2
opted,4
deliciousness,2
full,3
plain fries,2
burger joint,3
experience,2
amount,4
milkshake,5
good range,2
town,3
states,2
held,2
sauce,4
wouldn,2
good,19
food,11
found,3
idea,2
expect,6
missed,3
wondered,2
gluten free bun,2
reason,3
expecting,2
feel,3
fancy,4
miss,2
guess,2
option,3
mmmm,2
part,3
convinced,2
double,2
juicy,5
thought,4
honeycomb,2
added,2
75,2
eaten,2
clean,2
fine,2
find,6
pretty,3
flavours,2
close,2
patties,2
recently,2
premises,3
restaurant,4
patty,2
point,3
simple,5
sweet,2
crispy,7
priced,3
prices,2
solid,3
chocolate shake,2
ready,5
spend,2
disappointed,5
location,2
excited,3
complaint,2
big,3
couple,7
bit,9
collect,4
highly recommend,2
back,11
sauces,4
eating,2
delish,2
impressed,4
creamy,2
forward,2
fries,18
paired,2
highlight,3
ordered,6
doesn,3
nice,7
visits,3
sides,2
cooked,3
fresh,3
cheerful,2
desserts,3
chicken katsu,2
include,2
friendly,2
dessert,2
soy milk,2
smaller,2
sunny day,2
raspberries,3
great,8
suggests,2
opinion,4
makes,2
sort,2
onions,2
light,2
counter,5
perfect,4
write,2
ll,6
choose,4
veggie burger,3
mention,2
day,6
vanilla milkshake,2
tray,2
wasabi mayo,2
pretty good,3
craving,2
chilli,2
times,4
keen,2
blown,2
quality,4
sadly,2
lot,7
normal burger,2
loved,3
steep,2
looked,2
fact,3
atmosphere,2
table service,3
staff,4
words,2
chips,12
gbk,2
buzzer,5
super friendly,2
invited,2
glorious,2
comment,2
falafel burger,2
table,3
classic burger,3
vanilla,2
ve,13
pretty tasty,2
friendly service,2
succulent,2
drink,2
loudons,3
seats,2
kick,2
soft,2
didn,9
proper,2
home,2
beetroot,2
toppings,2
west end,2
bun,5
eat,6
made,7
places,8
hand,5
boot,2
book,2
special,5
chance,2
pickle,2
friends,3
opened,2
portion,4
