name,count
desserts,2
dish,2
ambience,3
bar area,2
pay,2
dessert,3
venue,2
booking,2
enjoy,3
cosy,2
drinks,3
opted,2
giving,2
told,2
dining area,2
met,3
wait,2
dry,4
great,3
experience,2
sofas,2
makes,2
love,3
brought,3
salisbury arms,7
visit,3
greasy,2
sort,2
started,2
glass,3
warm,2
whisky,2
town,3
bartender,2
room,2
work,2
friendly,6
soup,2
smaller group,2
7pm,2
onions,2
sunday,2
place,8
end,2
lamb burger,2
light,2
waitress,7
order,2
wine,2
écor,2
find,3
left,3
brie,2
group,2
main,4
good,8
food,11
lunch,2
day,2
didn,3
side,3
fish,4
bill,2
7,2
shows,2
friday,2
pub,3
couldn,3
times,2
expecting,2
waited,3
dine,2
number,2
wasn,6
service,4
2,2
part,2
kind,2
future,2
pre,3
modern,2
sat,2
dishes,2
mulled wine,2
odd,2
surf,2
plenty,4
don,3
clean,2
30pm,2
cheap,2
large,2
fine,2
enjoyed,5
staff,7
busy,4
menu,7
plate,4
chips,5
bar,5
steak,3
turf,2
review,4
champagne,3
meal,5
missing,2
restaurant,3
fault,2
disappointment,2
point,3
wall,4
table,5
turkey,2
beer,2
expected,2
lovely,5
antlers,2
mine,2
prices,2
£20,2
harder,2
choices,2
ve,5
pork belly,3
evening,2
make,3
arrived,4
butter,2
asked,2
thought,5
yelp christmas dinner,2
talk,2
tables,2
cut,3
5 stars,2
read,2
couple,3
bit,4
disappointed,2
mixed feelings,2
helpful,2
inviting,2
served,3
people,2
back,7
feel,2
olives,2
dinner,3
crags,6
impressed,4
area,2
start,2
forward,4
happy,3
lovely yelpers,2
offer,4
eat,2
made,3
inside,4
ordered,7
tasty,5
nice,4
students,2
prepared,2
friends,3
time,6
