name,count
desserts,2
dish,2
rose street,3
glad,2
presentation,2
worth,4
street,2
dessert,6
choice,5
californian cuisine,2
venue,3
fabulous,3
situated,2
cosy,2
opted,2
full,2
change,2
great,2
inspired,2
30,2
round,3
pick,2
visit,5
main,5
door,4
excuse,2
warm,2
3 courses,4
excellent,2
£5,2
starter,3
town,2
word,2
friendly,3
sample,2
edinburgh,4
guys,2
rose street lane north,2
honestly,2
wine,6
satisfied,2
perfect,2
23,2
ll,2
choose,2
sauce,7
good,6
return,2
tucked,2
food,10
number,2
meat,4
courses,2
reasonable,3
meal,5
expect,2
thing,2
opened,2
calistoga,10
wines,2
completely,2
california,2
put,3
ate,2
times,3
place,9
waitress,3
delicious,3
wasn,2
bland,2
quality,4
guess,2
service,3
ordering,2
top,2
friend,2
accompany,2
kind,4
future,2
pork belly,2
scotland,2
note,2
added,2
price,2
mouth,3
don,2
ways,2
fact,2
atmosphere,2
mains,2
cheap,2
find,3
staff,6
menu,4
starters,3
perfection,2
steak,4
flavours,2
tender,2
chose,2
lots,2
review,2
tuna steak,2
restaurant,9
st leonards,2
table,5
finally,2
lovely,3
important,2
priced,3
attentive,2
£23,2
ve,7
happy,2
decor,2
make,4
bowl,3
bottle,4
fantastic,2
couple,2
dark,2
world,2
bit,7
disappointed,2
50,3
lamb shank,2
served,3
didn,4
people,3
back,6
home,4
main courses,2
coated,2
night,2
side,2
dinner,3
stumble,2
impressed,2
start,2
lot,3
offer,2
6,2
eat,2
made,2
flavour,2
places,2
inside,2
highlight,2
doesn,2
ingredients,2
£15,2
£12,2
5,3
nice,2
fresh,2
meals,2
lane,2
