name,count
sashimi,2
presented,3
wait,2
door,2
£9,2
excellent,2
town,3
share,2
end,2
edinburgh,6
collection,2
types,2
vegetarian options,2
make,2
good,7
wasabi,2
hands,2
filling,2
fish,3
place,3
wasn,2
city,2
ordering,2
10,2
soul sushi,6
seaweed salad,2
sea platter,2
salmon,2
order,3
fact,2
12 pieces,2
enjoyed,2
menu,2
meant,2
decided,2
3,2
restaurant,2
ll,3
tuna box,2
£26,2
ve,5
sushi,7
variety,2
money,2
easy,2
couple,2
boxes,3
world,2
disappointed,2
night,2
people,4
platters,3
found,2
rolls,3
spicy,2
delivery,5
eat,4
ordered,2
tasty,5
friends,3
land,3
yelp,2
soy sauce,2
time,5
fresh,4
platter,3
