name,count
catch,2
dish,2
friendly,3
small,2
materialised,2
drinks,2
enjoyed,2
told,2
full,2
great,2
amount,2
visit,4
doubt,2
recommend,2
word,2
work,3
reviews,2
hot,2
edinburgh,3
wrong,2
tapas,5
order,4
wine,4
churros,2
ended,2
ll,2
amazing,2
good,3
food,8
day,2
bread,3
meat,2
didn,3
found,2
meal,2
year,2
place,6
isn,3
wasn,3
open,3
checked,2
service,5
ordering,2
2,2
visited,2
tasted,2
dishes,3
paid,2
ve experienced,2
don,3
fact,2
patatas bravas,5
find,2
staff,5
busy,2
menu,3
bar,3
bad,2
opening,2
job,2
highlight,2
restaurant,2
point,2
sweet,2
table,2
expensive,2
beer,4
lovely,2
ve,5
garlic mayo,2
make,4
asked,2
person,2
rest,2
tables,2
couple,4
bit,3
disappointed,2
served,2
seating,2
back,5
olives,2
dinner,3
weekend,2
noticed,2
start,2
lot,2
made,2
ordered,3
taste,2
tasty,4
nice,4
draught,2
chance,2
glass,2
time,3
