name,count
laura,2
desserts,2
95,3
starter,2
friendly,2
dessert,4
brownie,4
royal mile,3
bacon,2
past,2
find,2
scallops,2
chose,2
great,2
love,2
sort,2
chocolate,2
excellent,2
£7,2
give,2
awesome,2
heard,2
edinburgh,5
wrong,3
tomato,2
order,2
perfect,2
style,2
ll,3
choose,3
main,4
coffee,2
good,4
food,3
day,4
didn,6
meal,3
michael,2
ice cream,2
quality,2
couldn,2
place,5
blink,2
wasn,3
city,2
service,3
wonderful,2
mind,2
mix,2
don,3
menu,5
bar,2
steak,3
review,2
3,2
joe,4
restaurant,3
point,2
simply,2
table,3
offered,2
bill,2
visit,2
ve,4
make,3
cranberry brownie,3
week,2
drink,2
running,2
butter,2
touch,2
bit,2
disappointed,2
steph,2
back,4
eating,2
lot,2
sea bass,2
true,2
eat,3
michael neave,2
made,2
flavour,2
fine dining,2
taste,2
tasty,2
venison,2
nice,2
star,2
time,2
