name,count
good food,3
worth,2
bringing,2
pretty good,2
haggis,3
sun,2
told,2
cozy,2
standard,3
love,2
ve,2
give,2
visit,3
recommend,2
sort,3
warm,4
stir fry,2
maison bleue,2
edinburgh,6
spot,2
drinks,2
terrace,2
great service,2
sauce,2
good,9
food,15
didn,4
stopped,2
fish,2
ambiance,2
tourist trap,2
ate,2
waiter,3
place,8
castle,2
feel,2
wasn,4
service,8
friend,2
boyfriend,2
kind,2
happy,2
tasted,2
interior,2
breaded mushrooms,2
price,3
salmon,2
microwaved,2
don,4
looked,4
2 stars,2
chicken,5
staff,3
menu,4
pretty,2
stay,2
places,2
steak,2
restaurants,2
close,2
cold,5
lots,3
horrible,2
nope,2
restaurant,4
neeps,2
asked,2
table,3
waste,2
life,2
bill,3
fault,2
tasty,2
victoria st,2
drink,2
dishes,2
thought,2
bottle,2
left,3
summer,2
money,3
rest,3
generous,2
day,3
couple,2
disappointed,2
lost,2
server,2
night,4
tower,2
nice,9
maxie,3
back,6
candle,2
pasta,2
dinner,3
lot,3
relaxed,2
pleased,2
eat,4
portions,2
inside,3
ordered,3
star,2
cooked,3
time,6
