name,count
concept,2
veg,3
choice,4
list,2
satay sauce,2
subway,2
red box noodle bar,2
eating,3
water,2
busy,2
wait,3
pick,3
spices,2
love,5
manage,2
meats,3
visit,4
recommend,3
today,3
spring rolls,2
£5,3
hole,2
starter,4
fast,5
ramen noodles,3
give,2
veggies,7
times,2
tastebuds,2
sit,2
hot,2
edinburgh,3
quick meal,2
spot,3
end,2
remember,3
effective,2
prawns,2
chopsticks,3
takeaway,2
order,3
whilst,2
including,2
ll,3
amazing,2
offers,2
choose,10
sauce,13
good,11
freshly cooked,2
food,11
mention,2
half,2
day,2
meat,12
didn,3
bamboo shoots,2
found,3
meal,4
expect,2
noodle bars,3
reason,2
imagine,2
put,2
noodle type,3
honest,2
place,16
feel,3
scene,2
fancy,2
number,2
delicious,2
quality,3
service,5
ordering,2
egg noodles,3
types,2
delicious noodles,2
street,2
feeling,2
counter,2
apparently,2
build,5
price,2
knew,2
great price,2
plan,2
don,9
fills,2
looked,2
part,2
clean,3
selection,4
mains,2
cheap,4
chicken,4
find,2
staff,3
satay,5
menu,4
starters,2
won,2
stop,2
feels,2
stuff,2
won tons,2
noodles,15
review,3
restaurant,7
taking,2
rice noodles,3
point,2
simple,4
portion sizes,2
simply,2
table,2
beef,4
quickly,2
beer,3
peppers,2
box,5
great,8
3 veg,2
fun,2
steaming hot,2
ve,9
ready,2
oyster sauce,3
make,6
disappointment,2
week,2
finish,2
drink,3
noodle,6
asked,2
thought,2
spend,2
toilets,2
4,2
easy,3
bit,5
served,3
fiver,2
back,8
choosing,3
dingy,2
ve eaten,2
pepper,2
udon noodles,2
dinner,2
black bean,2
impressed,2
friends,2
vegetables,6
happy,3
fork,2
eat,3
made,3
red box,12
minutes,4
taste,5
moved,2
doesn,2
general,2
tasty,3
students,2
home,2
time,2
fresh,3
ohhhh,2
