name,count
dairy,2
ambience,2
friendly,4
henderson,6
dessert,3
drinks,3
find,2
shared,2
filled,2
pate,2
table,2
wait,2
great,2
experience,3
love,2
salad,4
soup,3
making,2
give,2
carrot,2
thing,2
feta,2
yum,2
edinburgh,4
vegetarian food,2
lot,4
order,3
main,3
absolutely delicious,2
good,7
food,3
lunch,2
hendersons,2
day,3
meat,2
didn,4
side,4
salads,2
bistro,3
small,2
wanted,2
organic,2
place,6
omitted,2
veggie,3
delicious,6
wasn,2
é,2
service,3
time,4
friend,2
option,2
decided,2
happy,2
tasted,3
close,2
dishes,3
burgers,2
atmosphere,3
overpriced,2
enjoyed,3
menu,5
rice,2
vegetarian restaurants,2
restaurant,5
asked,2
lovely,2
mushroom,2
budget,2
vegetarian,2
ve,3
things,2
make,4
dietary restrictions,2
nachos,2
lacking,2
3pm,2
bit,5
back,2
beans,2
socks,2
start,2
gluten,2
relaxed,2
eat,3
made,2
ordered,3
taste,2
cream,2
cream cheese,2
nice,6
star,2
felt,2
portion,2
