name,count
lack,2
long time,2
starter,3
friendly,2
special,2
stockbridge,2
brilliant,3
prefer,2
light,3
main,3
good,3
food,3
day,2
didn,2
recommend,2
reasonable price,2
place,6
wasn,2
quality,3
service,2
ordered,4
friend,2
excellent,2
ages,2
don,3
looked,3
chicken,2
find,2
menu,4
surroundings,2
batter,2
good restaurant,2
chinese food,3
restaurant,3
sweet,5
karen,6
ve,8
unicorn,6
thought,2
bit,3
chinese restaurant,4
night,2
back,2
lot,2
made,3
average,2
tasty,2
nice,6
star,2
sf bay area,2
