name,count
good food,2
princes street,6
level,2
restaurant upstairs,2
drinks,2
adds,2
locals,2
told,2
mussels,2
wait,2
great,6
visit,2
train,2
beers,4
excellent,2
town,2
room,2
friendly,4
tap,2
incredible,2
sit,4
located,2
real ales,5
edinburgh,6
enter,2
order,2
nuts,2
good,7
food,5
half,2
front,5
ales,4
meal,2
pub,8
pleasant,2
times,3
place,10
number,3
é,2
eyes,2
lot,2
serve,3
seat,2
haddock,2
ornate ceiling,2
nights,2
centre,3
eaten,3
don,4
train station,2
fact,2
atmosphere,2
find,3
staff,5
busy,6
folks,2
means,2
made,2
chips,3
bar,8
central location,2
close,2
won,2
tables,2
group,2
voodoo rooms,2
great pub,2
ll,2
offerings,2
steak pie,3
table,2
beer,4
turned,2
prices,4
welcoming,2
guildford arms,4
decor,2
drink,2
princess street,2
pubs,3
rest,2
location,2
overlooks,2
bit,3
walk,2
helpful,3
served,2
lager,2
people,2
back,4
home,2
traditional pub,3
decent pint,2
range,2
area,2
offer,2
eat,3
places,2
problem,4
nice,5
guildford,5
time,6
