name,count
regulars,2
choice,4
leith,2
tea,2
pancakes,6
great,3
fantastic,2
love,2
wanted,2
live,2
music,2
flat,2
greeted,3
times,2
sit,3
edinburgh,2
counter,2
coffee,6
good,2
food,5
fair trade coffee shop,4
starbucks,2
didn,3
stopped,2
leith walk,3
thing,2
place,8
feel,2
fair,2
service,2
time,3
syrup,2
breakfast,4
don,2
fact,2
atmosphere,3
staff,2
gig posters,2
menu,4
local,2
morning,3
glasgow,2
interest,2
chill,2
ve,3
seats,2
tables,2
bit,2
50,2
back,2
business,2
side,2
stuart,2
free wifi,2
low,2
lot,4
eat,2
made,2
flavour,3
cream,2
ingredients,2
tesco,2
nice,3
felt,3
